"ID","Year","UA","obesity","popCount","10301","11202","22401","90356","90360","90637","92309","92310","92899","92924","93111","93350","93351"
1,2014,"EM01",180,1085,4.38373215335982,8.04040610741369,2055.93391276361,8.46760908082399,31.8136289147517,0.968204903518417,19.4788396358736,20.3415409829923,18.1639581212067,9.58976786277999,6.75903415097222,29.4109962858106,385.876308759983
2,2015,"EM01",159,1058,4.250922157193,8.52570318833086,1953.20927874237,11.0478930337902,12.9426324354238,0.838410138201288,19.5285085679273,20.7900855261981,15.8733029788566,9.48225316848143,6.9715442157153,25.6483808813919,413.378808111387
3,2016,"EM01",187,1123,4.34434010183109,10.9756284761131,1762.14657012361,9.95305092285865,16.9152861101228,1.26847053812729,19.5416371373499,21.0572516286411,18.5955308291857,9.97308550996461,6.89058800057508,21.6823808605182,426.980406944185
4,2011,"EM02",181,825,5.5126063420494,7.55784633518371,1905.14147567122,11.1277986300981,2.5677106034002,0.647081313209857,18.761001489064,22.2044276961906,19.558269946985,8.74842752260705,5.94947199956998,24.2246885662065,337.555714373539
5,2012,"EM02",172,794,5.92697859398415,6.85424806663137,1605.49850457777,10.3181613462841,20.4190877483175,0.475188316173362,18.7393546066836,22.9797856175785,20.1558321580329,9.06875064468153,5.77744004239701,20.3603808535603,345.570348404601
6,2013,"EM02",159,796,4.86996666901298,6.82393784555766,1915.48812733249,7.82605086449002,9.45196320617205,0.776925321929398,18.7730221295077,23.4863312100481,25.334704653781,10.1331965946195,5.88875483821482,14.6656115928185,365.424026896485
7,2015,"EM02",214,826,4.85870262665968,7.31046532426597,1810.14352371851,11.4604890496286,19.3904418410719,0.95751172195385,18.6940076099516,23.8122111410967,21.8821229899489,9.30467725555076,6.678077935832,18.6316116136923,362.331242809809
8,2016,"EM02",169,895,4.83216476715414,9.42306274299346,1773.47592510408,11.6288742604955,41.7465166397092,1.43786258967291,18.8030117153336,23.8189127169377,19.8238531518952,9.246124652083,6.59712172069177,18.1231500725546,377.196559871572
9,2017,"EM02",215,891,4.96837284103661,11.5532201644137,1952.16496234421,7.58718268148893,26.6018271285956,1.49238537033171,18.8078630981546,23.8151334650157,21.5501439838112,8.64777761630127,7.08285901153311,18.4282269972372,377.030281157234
10,2011,"EM03",117,614,5.51026970707318,10.9244893807915,2168.72917499298,12.8905152035624,15.1296798726813,0.980537832310841,19.4607553424,19.6954205464662,30.0156086403225,8.96638454137755,6.12150395674296,18.4282269972372,288.004657500998
11,2012,"EM03",142,634,5.72424262395081,11.2132882287881,2192.39468480832,12.9623302687593,15.9069881798076,1.16305158013034,19.6637861881708,20.2977016256814,14.7777722586022,9.20533973518477,6.25305780634582,16.3943808326866,280.85467278449
12,2013,"EM03",182,677,4.83279676877749,12.4246427842531,2317.82225154116,10.3884186705556,-1.4856231765002,0.760640108357853,20.0232065731191,20.4206700566513,13.2838667309825,10.35115361339,6.08102584917285,4.49638077006536,306.927175192592
13,2014,"EM03",162,678,5.11447920638841,12.4472336887185,2117.88732003261,11.2829071705096,40.1248689366617,1.12645414307809,19.9363301593261,20.5250119384221,30.7127645532117,10.1760005668098,6.48580692487396,12.7334577364954,315.806458538209
14,2015,"EM03",167,758,4.80146646437454,14.2761257754247,1812.9588842695,13.6922687609411,15.1034790828085,1.59120895898443,20.1886083212798,20.6154860879207,31.3103267642596,9.76431519277267,6.89058800057508,15.9876115997764,307.891591735749
15,2016,"EM03",182,739,5.07862970421763,13.953163688337,1766.52707984799,13.5018532849132,15.1789096163231,1.44828872850611,20.2202726886509,20.6296922742629,21.4173523813561,9.1744481892173,6.73879509718716,1.14053459855681,331.004333028646
16,2017,"EM03",191,783,5.00425609963546,14.8225332423283,1757.37370215084,9.75589523607784,46.2485494254783,2.17739505509692,20.403670609003,20.6835088129073,16.3712714880631,8.63071659908394,7.23465191492103,14.4622269763635,336.657809316117
17,2011,"EM04",192,974,5.48414493114467,8.98277404217654,2519.98823685959,13.0757376666948,14.9701390658067,0.482257075875712,20.1133965962727,18.5234182173989,23.6416117224787,8.83676119163169,5.51433234319128,16.6994577573691,356.345209093664
18,2013,"EM04",199,1044,4.77186180919409,10.2594853296034,2553.06082861662,9.55727586314296,14.466004011431,0.612228152079185,19.7109105472097,19.8280891163119,24.8367361445744,10.4885503260101,5.19050748263039,14.8689962092736,365.723328582292
19,2014,"EM04",206,1049,4.7774930450839,13.0214793538308,2285.54745499251,10.2341387634859,20.7040522863611,1.27176861643904,19.5958111623249,20.332621910599,22.0481124930178,10.2265779018742,5.15002937506028,15.9876115997764,368.184253554485
20,2015,"EM04",207,1054,4.50653623989043,13.5660657450733,2586.96814025156,11.436223472722,30.931574082581,1.4037003420971,19.4552488407465,20.7279315434521,30.4139834476878,8.96204357249977,5.40301754737347,17.2079192985068,391.19722761878
